[INFO-1]
PC23;e4:54:e8:84:dd:56;172.30.73.34;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC24;e4:54:e8:84:dc:61;172.30.73.35;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC25;e4:54:e8:87:82:25;172.30.73.36;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC26;e4:54:e8:82:95:e6;172.30.73.37;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC31;e4:54:e8:87:7a:0d;172.30.73.38;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC32;e4:54:e8:82:e4:a3;172.30.73.39;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC33;e4:54:e8:86:e0:4d;172.30.73.40;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC34;e4:54:e8:87:82:30;172.30.73.41;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC35;e4:54:e8:82:ab:22;172.30.73.42;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC36;e4:54:e8:82:a8:2b;172.30.73.43;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC41;e4:54:e8:87:77:fd;172.30.73.44;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC42;e4:54:e8:83:2d:26;172.30.73.45;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC43;e4:54:e8:82:a7:f7;172.30.73.46;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC44;e4:54:e8:82:a8:93;172.30.73.47;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC45;e4:54:e8:82:aa:45;172.30.73.48;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC46;e4:54:e8:84:dd:5d;172.30.73.49;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;

